,Item_Identifier,Item_Weight,Item_category,price_per_unit_wt,Outlet_Size_num,Outlet_Location_Type_num,Item_MRP_clusters,Item_Type_new,Outlet_Years,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Outlet_Sales,Outlet,Identifier,Item_Visibility_MeanRatio
55,FDK21,7.905,FD,3.4813696970506847,1,0,4th,not_sure,10,1,0.01000290867885067,13,249.0408,OUT018,2009,2,6258.52,3,553,0.15901740311402926
56,NCX54,9.195,NC,2.529373543341128,2,1,2nd,non_perishable,17,2,0.04703370630960699,9,106.1622,OUT045,2002,1,2117.244,7,1538,0.7477003016127696
57,DRK35,8.365,DR,1.7135792751851,1,2,1st,non_perishable,20,1,0.06948706655245153,7,38.0506,OUT049,1999,1,796.9626,9,107,1.104643981859501
58,FDY21,15.1,FD,2.630558688164964,0,2,3rd,not_sure,22,1,0.15997480435416292,13,194.511,OUT046,1997,1,4910.275,8,1183,2.543138078013204
59,FDI26,12.857645184136183,FD,2.6207395742841824,0,2,3rd,non_perishable,34,1,0.059289309035956646,3,180.0344,OUT019,1985,0,892.172,4,485,0.9425290441026252
60,FDM20,10.0,FD,3.246157862489772,1,0,4th,perishable,10,1,0.0,6,246.9144,OUT018,2009,2,3185.1872,3,629,0.0
61,FDV27,7.97,FD,2.481569846689422,2,1,2nd,perishable,17,3,0.039289106006744394,10,87.3514,OUT045,2002,1,1062.6168,7,1039,0.6245834895077893
62,FDF09,12.857645184136183,FD,2.6207395742841824,1,0,1st,perishable,34,1,0.012017572833334954,6,38.2848,OUT027,1985,3,484.7024,5,361,0.19104475358563452
63,FDY40,12.857645184136183,FD,2.6207395742841824,0,2,1st,non_perishable,34,3,0.140010598414205,5,51.0692,OUT019,1985,0,147.8076,4,1199,2.2257647733345336
64,FDY45,12.857645184136183,FD,2.6207395742841824,1,0,4th,not_sure,34,1,0.025682872365179216,13,255.8356,OUT027,1985,3,2543.356,5,1202,0.4082836102117767
65,FDC46,17.7,FD,2.440264790396273,2,0,3rd,not_sure,21,0,0.1782032766407665,13,185.4266,OUT010,1998,0,184.4266,0,266,2.8329182228505156
66,FDH19,19.35,FD,2.2944059987762646,0,1,3rd,perishable,15,1,0.03254677554745913,10,172.5738,OUT035,2004,1,4865.6664,6,441,0.5173998777210472
67,FDZ03,13.65,FD,2.6829465150217184,2,1,3rd,perishable,17,3,0.0759850603921979,4,186.024,OUT045,2002,1,1118.5439999999999,7,1218,1.2079433459766744
68,DRH37,17.6,DR,2.338591511216397,2,1,3rd,non_perishable,17,1,0.04085471974477913,14,164.8526,OUT045,2002,1,2302.3364,7,72,0.6494722332617249
69,NCI17,8.645,NC,2.492071972002791,0,2,2nd,non_perishable,22,2,0.13402608287012402,8,95.84100000000001,OUT046,1997,1,2027.361,8,1343,2.130628233427159
70,FDJ58,15.6,FD,2.477272885757493,0,2,3rd,not_sure,22,3,0.1001132375421556,13,170.1764,OUT046,1997,1,3435.528,8,541,1.5915117854620562
71,FDL12,15.85,FD,1.5552781527077206,2,0,1st,non_perishable,32,3,0.11469516285828993,0,59.222,OUT013,1987,1,599.22,1,586,1.8233223488311927
72,FDH35,18.25,FD,2.3053352803622658,2,1,3rd,not_sure,17,1,0.0,15,164.7526,OUT045,2002,1,4604.6728,7,453,0.0
73,FDG02,7.855,FD,3.224455645605863,2,1,3rd,non_perishable,12,1,0.011261215822357475,3,189.6188,OUT017,2007,1,2285.0256,2,394,0.17902085817938881
74,NCZ18,7.825,NC,3.5117640025175536,1,2,4th,non_perishable,20,2,0.17088739183660218,9,254.3698,OUT049,1999,1,5580.7356,9,1552,2.7166167509097296
75,FDC29,8.39,FD,2.6803159391747813,0,2,2nd,non_perishable,22,3,0.023917347271811124,5,114.0176,OUT046,1997,1,2290.3520000000003,8,254,0.3802168523822625
76,FDQ10,12.85,FD,2.6680503933532504,1,2,3rd,not_sure,20,1,0.03269060757874075,13,172.3422,OUT049,1999,1,1207.0954,9,781,0.5196863922573018
77,FDN48,12.857645184136183,FD,2.6207395742841824,0,2,2nd,non_perishable,34,1,0.10770607228787914,0,89.9804,OUT019,1985,0,643.1628,4,682,1.712215962847154
78,FDL04,19.0,FD,1.8755377012561547,2,1,2nd,non_perishable,12,1,0.10666052657733602,5,104.9622,OUT017,2007,1,1587.933,2,582,1.6955948010365793
79,FDV25,5.905,FD,3.6555205447517785,2,1,4th,non_perishable,17,1,0.0,3,222.5456,OUT045,2002,1,5305.0944,7,1037,0.0
80,FDD58,7.76,FD,2.6481287254913215,0,2,2nd,not_sure,22,1,0.05765762793407714,13,101.87,OUT046,1997,1,1697.79,8,316,0.9165900197786593
81,FDN04,11.8,FD,2.7900955956704356,0,2,3rd,non_perishable,22,5,0.013988756513245116,5,180.3344,OUT046,1997,1,1427.4752,8,656,0.22238088989394733
82,FDV45,16.75,FD,2.5031745911299326,1,0,3rd,not_sure,10,4,0.044237860043145366,13,187.9556,OUT018,2009,2,4693.89,3,1053,0.7032544082159037
83,NCL18,12.857645184136183,NC,2.6207395742841824,0,2,3rd,non_perishable,34,2,0.25728814041390363,9,194.6136,OUT019,1985,0,583.2408,4,1379,4.090139503838557
84,FDR12,12.857645184136183,FD,2.6207395742841824,1,0,3rd,non_perishable,34,3,0.030899693136657684,0,171.3764,OUT027,1985,3,3091.9752,5,829,0.4912160169971948
85,FDG20,15.5,FD,2.5192706751513994,2,1,3rd,perishable,12,3,0.11902569434726522,6,177.0028,OUT017,2007,1,2479.4392,2,404,1.8921653117721984
86,FDZ55,6.055,FD,3.317390832941449,0,1,3rd,perishable,15,1,0.02508658180357685,6,160.99200000000002,OUT035,2004,1,2716.4640000000004,6,1258,0.3988043097751052
87,FDQ49,12.857645184136183,FD,2.6207395742841824,1,0,3rd,perishable,34,3,0.038314222607153385,2,155.963,OUT027,1985,3,3285.723,5,811,0.609085654676036
88,FDN33,6.305,FD,2.7831257952876163,0,2,2nd,not_sure,22,3,0.11610675503828967,13,95.6436,OUT046,1997,1,661.8052,8,674,1.8457625939565157
89,FDN27,20.85,FD,1.8908471140958376,1,2,2nd,perishable,20,1,0.03885911509227398,10,117.2808,OUT049,1999,1,1523.3504,9,670,0.61774787391067
90,FDW20,20.75,FD,1.9297597770222623,2,0,2nd,perishable,21,1,0.03962562443487357,6,122.17299999999999,OUT010,1998,0,369.519,0,1082,0.6299331621139442
91,DRG27,8.895,DR,1.7024213033530398,1,2,1st,perishable,20,1,0.1000933684602602,4,39.9138,OUT049,1999,1,690.4346,9,57,1.5911959243553813
92,DRI25,19.6,DR,1.3387721427673105,2,1,1st,non_perishable,17,1,0.033405950719146364,14,55.1614,OUT045,2002,1,1381.535,7,82,0.5310582853910704
93,FDA44,19.7,FD,1.3708585811908407,0,1,1st,perishable,15,1,0.051845161480889815,6,57.893,OUT035,2004,1,622.523,6,178,0.8241885642872692
94,NCR17,9.8,NC,2.540711351098232,0,1,2nd,non_perishable,15,2,0.024086288325154134,8,114.5492,OUT035,2004,1,1274.3412,6,1468,0.38290252796368157
95,FDU04,12.857645184136183,FD,2.6207395742841824,0,2,2nd,non_perishable,34,1,0.009667711712219848,5,120.0414,OUT019,1985,0,487.3656,4,970,0.15368873793506677
96,FDF41,12.15,FD,3.0563898166392143,1,2,4th,non_perishable,20,1,0.12344145169382119,5,246.046,OUT049,1999,1,1231.73,9,382,1.9623631200872602
97,FDB56,8.75,FD,3.1101093886581874,0,1,3rd,perishable,15,3,0.07196068051514698,6,187.4556,OUT035,2004,1,3755.112,6,231,1.1439673108314126
98,NCP18,12.857645184136183,NC,2.6207395742841824,1,0,3rd,non_perishable,34,2,0.02806230537857022,9,149.9708,OUT027,1985,3,4363.6532,5,1442,0.4461097336745675
99,FDB56,8.75,FD,3.112145991169818,0,2,3rd,perishable,22,3,0.07197381166670722,6,187.8556,OUT046,1997,1,1314.2892,8,231,1.1441760582755856
100,FDT28,13.3,FD,2.5143608160470814,2,1,3rd,non_perishable,17,1,0.06174877466096673,5,151.0708,OUT045,2002,1,1805.6496,7,940,0.9816274553041823
101,FDD10,12.857645184136183,FD,2.6207395742841824,1,0,3rd,not_sure,34,3,0.04478006684699994,13,178.5344,OUT027,1985,3,2854.9504,5,284,0.7118739328629705
102,FDW57,8.31,FD,3.1158540616993986,1,2,3rd,not_sure,20,3,0.10962291939463406,13,179.1028,OUT049,1999,1,3896.2616,9,1113,1.7426883043299146
103,DRB48,16.75,DR,1.1985647744220425,2,0,1st,non_perishable,32,3,0.024529483187933077,14,38.7822,OUT013,1987,1,667.7974,1,7,0.3899480482633514
104,FDP09,19.75,FD,2.4628948498887757,1,0,4th,not_sure,10,1,0.03346176701791699,13,212.0902,OUT018,2009,2,3185.853,3,737,0.5319456035868975
105,FDH14,17.1,FD,2.225311160807354,2,0,3rd,non_perishable,32,3,0.04570885036564773,3,141.1838,OUT013,1987,1,2247.7408,1,438,0.7266389125236118
106,FDA47,10.5,FD,2.8054995054887004,2,0,3rd,non_perishable,32,3,0.11026748855016698,0,163.121,OUT013,1987,1,1794.3310000000001,1,181,1.7529350951915528
107,FDG12,6.635,FD,2.9592402531204223,2,1,2nd,non_perishable,17,3,0.0,0,121.3098,OUT045,2002,1,2530.7058,7,400,0.0
108,DRE60,12.857645184136183,DR,2.6207395742841824,0,2,4th,non_perishable,34,4,0.24605825264928574,14,225.372,OUT019,1985,0,679.1160000000001,4,36,3.911616671438099
109,DRK49,14.15,DR,1.367817285986535,2,0,1st,non_perishable,32,1,0.03528394056904566,14,41.4138,OUT013,1987,1,812.2760000000001,1,111,0.5609129085405244
110,FDD03,13.3,FD,2.9168762049041947,0,2,4th,perishable,22,1,0.07678164171168057,4,232.53,OUT046,1997,1,699.09,8,279,1.220606691895357
111,FDS52,8.89,FD,2.5272267342094406,2,1,2nd,non_perishable,12,4,0.005490381235106193,5,102.4016,OUT017,2007,1,2732.4432,2,910,0.08728122930468443
112,FDW39,12.857645184136183,FD,2.6207395742841824,0,2,3rd,perishable,34,3,0.06262294571892953,10,176.937,OUT019,1985,0,176.437,4,1099,0.9955242543231111
113,FDX34,12.857645184136183,FD,2.6207395742841824,1,0,2nd,not_sure,34,1,0.06918732711256413,13,121.7098,OUT027,1985,3,4097.3332,5,1144,1.09987898910869
114,FDV11,9.1,FD,2.997408889226122,2,1,3rd,perishable,17,3,0.0,1,173.2054,OUT045,2002,1,3151.8972,7,1025,0.0
115,FDD17,7.5,FD,3.492826451051073,1,2,4th,non_perishable,20,1,0.03215511627811023,5,239.0906,OUT049,1999,1,5942.265,9,288,0.5111736247463419
116,FDZ16,16.85,FD,2.519407461370437,2,1,3rd,non_perishable,12,3,0.14907500952156255,5,192.4478,OUT017,2007,1,4843.695,2,1228,2.369862771359602
117,FDZ46,7.485,FD,2.7450572056826252,0,1,2nd,not_sure,15,1,0.06682713463768626,13,109.0228,OUT035,2004,1,2542.0244,6,1251,1.0623587347252945
118,DRA12,11.6,DR,2.5723186888390304,2,1,3rd,non_perishable,12,1,0.04035228902589877,14,140.3154,OUT017,2007,1,2552.6772,2,0,0.6414850336654719
119,FDY58,11.65,FD,3.019982623595702,1,0,4th,not_sure,10,1,0.03929878029827014,13,227.0694,OUT018,2009,2,1141.847,3,1213,0.6247372828457856
120,NCF19,13.0,NC,1.5377502043432985,2,1,1st,non_perishable,12,2,0.03469831211110127,9,47.5034,OUT017,2007,1,680.4476,2,1317,0.5516031048062481
121,DRJ13,12.65,DR,2.608136979770296,2,1,3rd,non_perishable,17,0,0.06111188849450758,14,159.0578,OUT045,2002,1,2085.9514,7,91,0.9715028018137716
122,FDB14,20.25,FD,1.717124609322163,2,0,2nd,non_perishable,21,3,0.1586594551489062,3,92.512,OUT010,1998,0,186.424,0,200,2.522227818655317
123,FDJ38,8.6,FD,3.1403006445006834,0,1,3rd,non_perishable,15,3,0.03941101427564338,3,190.153,OUT035,2004,1,3036.048,6,528,0.6265214794426
124,FDW11,12.6,FD,1.788040923788107,2,1,1st,perishable,12,1,0.04789263198408694,1,62.7194,OUT017,2007,1,866.8716,2,1075,0.7613547429966593
125,FDL40,17.7,FD,1.8515285130006018,0,1,2nd,non_perishable,15,1,0.011544070076848599,5,95.041,OUT035,2004,1,868.8689999999999,6,605,0.18351742517335054
126,DRI49,14.15,DR,1.9206322061819896,0,2,2nd,non_perishable,22,1,0.1684823138734793,14,82.4276,OUT046,1997,1,1137.1864,8,86,2.678382946697241
127,FDV38,19.25,FD,1.3197881911446787,2,1,1st,perishable,12,1,0.09744382832021259,4,52.7956,OUT017,2007,1,928.1252,2,1048,1.5490758764729526
128,DRG23,8.88,DR,2.8954153240132254,2,0,3rd,non_perishable,32,1,0.08315385104419068,7,151.7682,OUT013,1987,1,762.341,1,55,1.3219064450658684
129,NCP30,20.5,NC,1.0868720968063648,2,1,1st,non_perishable,17,2,0.0323075907613466,9,40.2822,OUT045,2002,1,707.0796,7,1444,0.5135975293468772
130,FDY25,12.857645184136183,FD,2.6207395742841824,1,0,3rd,non_perishable,34,1,0.03325092262916634,3,180.5976,OUT027,1985,3,7968.2944,5,1186,0.5285937858070169
131,NCH54,13.5,NC,2.555169496408051,0,2,3rd,non_perishable,22,2,0.0701500470343327,9,160.292,OUT046,1997,1,1438.128,8,1340,1.1151834597182695
132,NCR53,12.857645184136183,NC,2.6207395742841824,1,0,4th,non_perishable,34,2,0.13482673468163803,8,224.4404,OUT027,1985,3,6976.2524,5,1476,2.1433562884312694
133,FDS52,8.89,FD,2.5209170873110334,2,0,2nd,non_perishable,21,1,0.009121488448280937,5,101.7016,OUT010,1998,0,101.2016,0,910,0.14500536315472093
134,FDG02,7.855,FD,3.2188697140920506,1,0,3rd,non_perishable,10,1,0.011243591261012027,3,188.5188,OUT018,2009,2,952.0939999999999,3,394,0.17874067847704855
135,NCO26,7.235,NC,2.8355618991345874,0,2,2nd,non_perishable,22,2,0.07404533904945272,9,116.0492,OUT046,1997,1,1969.4364,8,1428,1.1771073701029409
136,FDH35,12.857645184136183,FD,2.6207395742841824,1,0,3rd,not_sure,34,1,0.05822822427753139,15,165.4526,OUT027,1985,3,5262.4832,5,453,0.9256608562398876
137,FDB51,6.92,FD,2.277788862318743,2,1,1st,perishable,17,1,0.037808237232517326,4,60.5852,OUT045,2002,1,1314.2892,7,228,0.6010419463036479
138,FDX44,9.3,FD,2.3763270995730235,2,1,2nd,perishable,12,1,0.04230209638887406,6,90.8172,OUT017,2007,1,535.3032,2,1152,0.6724813481763198
139,NCN07,18.5,NC,2.0970451445199907,2,0,2nd,not_sure,21,2,0.05526105415760094,11,132.1284,OUT010,1998,0,263.6568,0,1407,0.8784914076107619
140,NCC31,8.02,NC,3.0094605506986762,0,1,3rd,non_perishable,15,2,0.01967193738407624,9,154.5972,OUT035,2004,1,1402.1748,6,1289,0.31272707744014117
141,NCX54,9.195,NC,2.520667025012742,2,1,2nd,non_perishable,12,2,0.04720005967070487,9,105.1622,OUT017,2007,1,1693.7952,2,1538,0.7503448403494878
142,NCO55,12.8,NC,2.2245711852883816,2,1,2nd,not_sure,17,2,0.08729803631558551,11,105.5938,OUT045,2002,1,2143.876,7,1436,1.3877870405044679
143,NCC30,16.6,NC,2.4596629817800197,1,2,3rd,non_perishable,20,2,0.027247469090175155,9,177.6344,OUT049,1999,1,2676.5159999999996,9,1288,0.4331561863911042
144,FDI16,14.0,FD,1.5665900577202976,0,1,1st,non_perishable,15,3,0.0,5,53.06399999999999,OUT035,2004,1,905.488,6,479,0.0
145,FDP16,18.6,FD,2.656493525494482,1,2,4th,non_perishable,20,1,0.03860123958837736,5,246.3802,OUT049,1999,1,7370.406,9,743,0.6136483970212065
146,FDB11,16.0,FD,2.71981571519619,0,1,4th,not_sure,15,1,0.05905777047514203,15,226.8404,OUT035,2004,1,6301.1312,6,198,0.9388482486616605
147,NCB06,17.6,NC,2.3155237536187174,0,1,3rd,non_perishable,15,2,0.0791036570573319,8,160.692,OUT035,2004,1,1597.92,6,1274,1.2575200400134992
148,FDA45,21.25,FD,2.2393921759290296,0,1,3rd,not_sure,15,1,0.1444035871683806,13,178.237,OUT035,2004,1,529.311,6,179,2.295600626687381
149,NCO26,7.235,NC,2.8476554852729965,0,1,2nd,non_perishable,15,2,0.0740318431845569,9,117.5492,OUT035,2004,1,1969.4364,6,1428,1.1768928247684376
150,DRJ25,14.6,DR,1.4928917827269346,2,1,1st,non_perishable,12,1,0.1409952554448843,14,50.3692,OUT017,2007,1,1034.6532,2,94,2.2414179807168675
151,FDR28,13.85,FD,2.538618497261168,1,0,3rd,non_perishable,10,5,0.025669672672649215,5,161.52100000000002,OUT018,2009,2,1794.3310000000001,3,843,0.40807377316383264
152,FDI04,13.65,FD,2.7395043810810478,1,0,3rd,non_perishable,10,3,0.0706536421768804,5,197.6426,OUT018,2009,2,2768.3964,3,470,1.1231891702930439
153,DRK12,12.857645184136183,DR,2.6207395742841824,1,0,1st,non_perishable,34,1,0.04083813614997829,14,31.29,OUT027,1985,3,898.83,5,104,0.6492086019256614
154,FDX20,7.365,FD,3.4566014728852883,0,2,4th,perishable,22,1,0.04167946870416645,6,226.172,OUT046,1997,1,3169.208,8,1132,0.6625833634292991
155,NCI18,18.35,NC,2.5789965328600792,1,0,4th,non_perishable,10,2,0.013982937469280057,9,223.5746,OUT018,2009,2,3589.9936,3,1344,0.22228838387498442
156,FDB36,5.465,FD,3.229089543531369,1,0,2nd,non_perishable,10,3,0.0,0,132.5626,OUT018,2009,2,262.3252,3,216,0.0
157,FDN13,18.6,FD,1.8512094608925713,2,1,2nd,perishable,12,1,0.1422964530052547,2,99.8358,OUT017,2007,1,1910.1802,2,661,2.2621032697294416
158,DRD24,13.85,DR,2.4136251893273686,2,1,3rd,non_perishable,12,1,0.030499402456879873,14,140.9154,OUT017,2007,1,1701.7848,2,20,0.4848525494866296
159,FDQ28,14.0,FD,2.488267661920179,2,0,3rd,non_perishable,32,3,0.05862429402352928,5,154.5656,OUT013,1987,1,2471.4496,1,797,0.9319572230750445
160,FDM22,14.0,FD,1.5916230225639885,2,0,1st,not_sure,32,3,0.04106790028295457,13,54.763999999999996,OUT013,1987,1,1331.6,1,631,0.652861189080824
